iter	Passed	Remaining
0	76	26596
1	92	16162
2	112	12965
3	162	14079
4	192	13306
5	231	13297
6	267	13113
7	286	12244
8	307	11634
9	335	11402
10	359	11090
11	379	10692
12	394	10225
13	412	9892
14	439	9818
15	458	9565
16	472	9248
17	485	8961
18	512	8933
19	531	8769
20	546	8565
21	563	8397
22	579	8241
23	598	8124
24	623	8105
25	639	7969
26	655	7838
27	667	7681
28	683	7567
29	699	7460
30	736	7581
31	751	7465
32	764	7341
33	786	7314
34	802	7223
35	822	7174
36	839	7102
37	851	6990
38	863	6884
39	874	6775
40	885	6675
41	914	6703
42	928	6626
43	938	6525
44	949	6435
45	972	6425
46	987	6369
47	1009	6350
48	1021	6277
49	1031	6190
50	1056	6191
51	1071	6141
52	1082	6065
53	1092	5990
54	1113	5970
55	1131	5941
56	1149	5907
57	1174	5911
58	1192	5880
59	1216	5878
60	1233	5843
61	1244	5778
62	1261	5746
63	1281	5726
64	1294	5677
65	1325	5701
66	1351	5706
67	1364	5657
68	1382	5631
69	1402	5611
70	1423	5591
71	1440	5563
72	1453	5516
73	1466	5470
74	1481	5432
75	1493	5383
76	1515	5372
77	1539	5369
78	1554	5330
79	1570	5299
80	1586	5268
81	1611	5266
82	1628	5237
83	1643	5203
84	1653	5153
85	1668	5123
86	1682	5085
87	1705	5078
88	1724	5056
89	1734	5010
90	1755	4997
91	1767	4956
92	1786	4936
93	1810	4931
94	1835	4927
95	1855	4909
96	1871	4880
97	1893	4869
98	1921	4870
99	1940	4850
100	1953	4816
101	1966	4781
102	1993	4779
103	2007	4749
104	2022	4718
105	2035	4685
106	2058	4674
107	2076	4652
108	2092	4625
109	2110	4604
110	2132	4590
111	2151	4571
112	2173	4559
113	2208	4571
114	2227	4551
115	2248	4535
116	2269	4520
117	2293	4508
118	2315	4495
119	2326	4459
120	2341	4431
121	2354	4399
122	2369	4373
123	2389	4354
124	2411	4341
125	2436	4331
126	2451	4304
127	2465	4276
128	2486	4260
129	2514	4254
130	2531	4232
131	2555	4220
132	2574	4200
133	2599	4189
134	2624	4179
135	2635	4147
136	2654	4126
137	2676	4111
138	2701	4100
139	2719	4079
140	2738	4059
141	2757	4039
142	2781	4025
143	2814	4026
144	2838	4013
145	2858	3993
146	2876	3972
147	2906	3966
148	2927	3949
149	2945	3927
150	2964	3906
151	2981	3883
152	3012	3878
153	3029	3855
154	3041	3826
155	3065	3812
156	3104	3815
157	3127	3800
158	3139	3770
159	3151	3742
160	3170	3722
161	3199	3713
162	3218	3692
163	3233	3667
164	3250	3644
165	3266	3621
166	3289	3604
167	3311	3587
168	3331	3567
169	3355	3552
170	3379	3537
171	3409	3528
172	3425	3504
173	3437	3476
174	3456	3456
175	3473	3434
176	3501	3422
177	3523	3404
178	3543	3384
179	3561	3363
180	3579	3342
181	3599	3322
182	3619	3302
183	3637	3281
184	3653	3258
185	3667	3233
186	3681	3208
187	3703	3190
188	3719	3168
189	3739	3149
190	3758	3128
191	3778	3109
192	3810	3099
193	3829	3079
194	3845	3056
195	3864	3036
196	3896	3026
197	3908	3000
198	3936	2987
199	3956	2967
200	3975	2947
201	3994	2926
202	4016	2908
203	4035	2887
204	4056	2868
205	4074	2848
206	4098	2831
207	4115	2809
208	4134	2789
209	4151	2767
210	4170	2747
211	4196	2731
212	4218	2712
213	4238	2693
214	4260	2675
215	4276	2652
216	4307	2639
217	4322	2617
218	4338	2595
219	4359	2576
220	4374	2553
221	4397	2535
222	4416	2515
223	4433	2493
224	4450	2472
225	4469	2452
226	4494	2435
227	4512	2414
228	4529	2393
229	4552	2374
230	4576	2357
231	4597	2338
232	4618	2319
233	4636	2298
234	4656	2278
235	4676	2259
236	4700	2241
237	4720	2221
238	4739	2200
239	4759	2181
240	4781	2162
241	4795	2139
242	4809	2117
243	4824	2096
244	4847	2077
245	4863	2055
246	4886	2037
247	4906	2017
248	4925	1998
249	4950	1980
250	4974	1961
251	4999	1944
252	5018	1924
253	5042	1906
254	5070	1888
255	5097	1871
256	5115	1851
257	5137	1831
258	5160	1813
259	5189	1796
260	5209	1776
261	5226	1755
262	5243	1734
263	5262	1714
264	5282	1694
265	5310	1676
266	5328	1656
267	5344	1635
268	5366	1615
269	5396	1598
270	5413	1577
271	5432	1557
272	5452	1537
273	5476	1518
274	5501	1500
275	5520	1480
276	5541	1460
277	5561	1440
278	5587	1421
279	5602	1400
280	5624	1381
281	5635	1359
282	5647	1337
283	5668	1317
284	5690	1297
285	5710	1277
286	5726	1257
287	5745	1236
288	5762	1216
289	5786	1197
290	5807	1177
291	5825	1157
292	5848	1137
293	5874	1118
294	5897	1099
295	5918	1079
296	5936	1059
297	5952	1038
298	5969	1018
299	5995	999
300	6018	979
301	6044	960
302	6067	941
303	6094	922
304	6112	901
305	6127	881
306	6140	860
307	6159	839
308	6190	821
309	6210	801
310	6227	781
311	6263	762
312	6280	742
313	6302	722
314	6323	702
315	6340	682
316	6365	662
317	6406	644
318	6420	623
319	6439	603
320	6462	583
321	6489	564
322	6511	544
323	6537	524
324	6563	504
325	6599	485
326	6622	465
327	6649	446
328	6688	426
329	6720	407
330	6741	387
331	6758	366
332	6782	346
333	6802	325
334	6828	305
335	6849	285
336	6876	265
337	6914	245
338	6937	225
339	6962	204
340	6994	184
341	7017	164
342	7040	143
343	7061	123
344	7089	102
345	7110	82
346	7136	61
347	7164	41
348	7194	20
349	7221	0
